id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
090010218023000,11,11,0,0,61,50.4,13.2,42.1,105.7,0,0
090012109004008,0,0,0,0,1,0.7,0,0.6,1.3,0,0
090010904001027,0,0,0,0,16,11.2,0,9.6,20.8,0,0
090010906001019,2,0,0,2,15,17.5,2.4,11.8,31.7,0,0
090010907001025,0,0,0,0,16,11.2,0,9.6,20.8,0,0
090075901011017,0,0,0,0,19,13.3,0,11.4,24.7,0,0
090076401003015,4,0,0,4,40,42,4.8,29.6,76.4,0,0
090076802001011,0,0,0,0,15,10.5,0,9,19.5,0,0
090075502021010,68,0,0,68,19,251.3,81.6,106.6,439.5,0,0
090075502021003,4,0,0,4,29,34.3,4.8,23,62.1,0,0
090075411002000,0,0,0,0,55,38.5,0,33,71.5,0,0
090075601001035,17,0,0,17,29,79.8,20.4,41.2,141.4,0,0
090075414012003,59,23,0,36,8,147.7,70.8,66.7,285.2,0,0
090076401002008,13,8,0,5,77,77,15.6,57.2,149.8,0,0
090075703004013,10,8,0,2,26,30.8,12,22.4,65.2,0,0
090075801003011,0,0,0,0,15,10.5,0,9,19.5,0,0
090010224001015,3,0,0,3,36,35.7,3.6,25.8,65.1,0,0
090012452003005,1,1,0,0,24,17.5,1.2,14.9,33.6,0,0
090010807002003,70,1,21,48,36,370.3,84,188,642.3,0,0
090010607002021,2,2,0,0,26,19.6,2.4,16.6,38.6,0,0
090010101015013,121,20,0,101,13,376.6,145.2,159.2,681,0,0
090010442002008,175,93,2,80,2,363.3,210,169.1,742.4,0,0
090010451024033,0,0,0,0,11,7.7,0,6.6,14.3,0,0
090010206003010,3,2,0,1,45,36.4,3.6,29.4,69.4,0,0
090010615003013,0,0,0,0,18,12.6,0,10.8,23.4,0,0
090093519001002,0,0,0,0,12,8.4,0,7.2,15.6,0,0
090010902001013,23,5,0,18,160,178.5,27.6,123.7,329.8,0,0
090075801003001,19,8,0,11,3,46.2,22.8,21.2,90.2,0,0
090093434004005,15,0,0,15,53,89.6,18,52.8,160.4,0,0
090091708002010,0,0,0,0,5,3.5,0,3,6.5,0,0
090093509001004,0,0,0,0,31,21.7,0,18.6,40.3,0,0
090093521003006,0,0,0,0,12,8.4,0,7.2,15.6,0,0
090159025004003,0,0,0,0,5,3.5,0,3,6.5,165228.26612531045,58.532611587024725
090076401001018,4,1,0,3,69,59.5,4.8,46.1,110.4,0,0
090075951013021,0,0,0,0,1,0.7,0,0.6,1.3,0,0
090075901013035,0,0,0,0,10,7,0,6,13,0,0
090075901013031,0,0,0,0,50,35,0,30,65,0,0
090093452011002,13,0,0,13,18,58.1,15.6,29,102.7,0,0
090091941011025,0,0,0,0,18,12.6,0,10.8,23.4,0,0
090091902002006,0,0,0,0,1,0.7,0,0.6,1.3,0,0
090091671012007,107,97,9,1,114,226.8,128.4,160.6,515.8,0,0
090093612002026,4,0,0,4,17,25.9,4.8,15.8,46.5,0,0
090076801023007,315,15,8,292,354,1347.5,378,666.3,2391.8,0,0
090010354001003,9,0,0,9,49,65.8,10.8,42,118.6,0,0
090010724001002,0,0,0,0,10,7,0,6,13,0,0
090118705012004,2,0,0,2,25,24.5,2.4,17.8,44.7,134241.81176476215,56319.72830775236
090116909003014,0,0,0,0,7,4.9,0,4.2,9.1,0,0
090116965001012,12,0,0,12,80,98,14.4,64.8,177.2,308320.5663694671,15374.821150867123
090116968001007,9,0,0,9,25,49,10.8,27.6,87.4,314251.8646224104,27008.760005045027
090117011003008,1,0,0,1,20,17.5,1.2,13.4,32.1,0,0
090117071006005,0,0,0,0,8,5.6,0,4.8,10.4,27837.452921022545,125.00386583071322
